id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000ec7s,2006-03-15 17:03:42.950000+00:00,4.1,m,59.9,28.978,-16.76,115.31,102.77
usp000ed3d,2006-03-28 00:17:36.330000+00:00,3.4,m,52.1,29.096,-14.77,306.611,611.77
usp000eg0w,2006-05-02 01:27:55.290000+00:00,2.9,m,44.8,27.625,-15.626,245.883,872.425
usp000ej58,2006-05-28 09:50:47.430000+00:00,2.5,mblg,24.5,28.103,-16.246,168.545,947.798
usp000ejd3,2006-05-31 19:32:13.570000+00:00,2.7,m,41.6,28.617,-15.237,256.918,1147.61
usp000eknd,2006-06-17 21:31:44.190000+00:00,3.1,m,0.0,29.661,-14.94,307.498,866.647
usp000emvq,2006-07-04 03:07:30.390000+00:00,2.6,m,16.9,28.02,-16.26,170.667,855.362
usp000eqx7,2006-08-14 12:47:58.790000+00:00,2.5,mblg,22.0,28.071,-16.946,108.461,609.922
usp000eucp,2006-10-02 23:45:18.170000+00:00,2.8,m,48.6,28.143,-16.134,177.521,706.725
usp000eud8,2006-10-03 04:52:51.230000+00:00,2.5,mblg,0.0,28.355,-14.614,319.48,1796.569
usp000evbh,2006-10-16 21:05:27.710000+00:00,2.5,m,72.3,28.629,-16.353,147.866,831.512
usp000ewg0,2006-11-02 12:05:20.890000+00:00,2.7,m,66.2,28.986,-16.327,155.781,695.849
usp000eynr,2006-11-23 22:15:20.390000+00:00,2.8,m,0.0,28.85,-14.422,337.215,1342.479
